superclass,group,previous_annotation_name
C001,eagle_with_floral_decorative_border,45_degree_wing_bird_facing_right_podium
C002,mercury_head_with_crossed_trumpets_floral_borders,angel_head_trumpet_birds
C003,angel_foliated_vignette,angel_with_tit_looking_right
C004,floral_scrolls_military_trophy_masks,angry_face_guns_heads
C005,floral_scroll_helmet_trophy,armour_and_flags_flora
C006,floral_scroll_with_birds_and_basket,basket_of_food_birds_eating
C007,winged_figures_floral_basket_fruit_scrollwork_motifs,basket_of_fruit_and_flowers_angels_touching_wings
C008,floral_cornucopia_with_fruit_basket,basket_of_fruit_and_flowers_cornucopia_and_heads
C009,basket_with_fruits_floral_scrolls_symmetrical_birds,basket_of_fruit_and_flowers_opposite_birds
C010,baroque_acanthus_with_fruit_and_flower_basket,basket_of_fruit_and_flowers_with_handle_on_top_branches_without_flora_around
C011,mermaid_with_torch_surrounded_by_foliage,bathing_lady_in_basket
C012,ornate_vase_with_grapes_and_acanthus_leaves,big_altar_of_fruit_symmetric_flora_on_sides
C013,symmetrical_floral_ornament_with_foliage_motifs,big_bouqet_single_octopus_like_tentacles_each_side
C014,vase_with_fruit_floral_scrolls_and_symmetrical_birds,big_buquet_with_far_corner_outward_facing_sitting_birds
C015,curved_acanthus_and_floral_garland_with_central_basket,big_flower_basket_crown_symmetric_fishlike_characters_thick_branches
C016,eagles_perched_on_arches_with_fruit_garland,big_flower_basket_framed_with_flora_sitting_centre_looking_birds
C017,two_peacocks_flanking_floral_arrangement_with_acanthus,big_flower_basket_with_crest_below_centre_facing_peacocks
C018,basket_fruit_garland_with_interlaced_ribbons_and_symmetrical_foliage,big_flower_vase_legs_as_bottom_four_tables_flowers_with_strong_branches
C019,vase_flowers_fisherman_buildings_river,big_flower_vase_on_boardwalk_in_front_town_left_and_right
C020,foliage_blossoms_vase_curved_foliage_daisies,big_fruit_basket_flowers_with_petals_cornucopia
C021,radiant_heart_floral_scrollwork_hexagonal_motifs,big_radiant_heart_two_symmetric_framed_flowers_wavy_flora
C022,vase_with_handles_flowering_branches_scrolling_foliage,big_vase_with_a_flower_flora
C023,mythological_figures_with_vine_scrollwork,bird_feeding_monarch_lions
C024,symmetrical_flower_vine_engraving,black_background_flower_cage
C025,heraldic_eagle_amidst_foliated_ornament,black_background_right_facing_bird_AND_strong_features_right_facing_bird_cornucopia_AND_bird_looking_up_flowers_podium
C026,floral_mask_foliage_scrolls_border,blobby_face_flying_puck_snails
C027,decorative_key_book_roses_floral_motifs,book_and_key
C028,winged_putti_open_book_floral_frame,book_angels
C029,winged_birds_foliage_mask,bouqet_centre_flying_birds
C030,winged_cherubs_birds_foliage_vase,bouqet_crossed_keys_below_birds_angels_sitting_on_floor_FH_initials
C031,birds_holding_fruit_with_floral_vase_and_foliage,bouqet_framed_lot_of_messy_flora_with_bird_looking_figures
C032,twin_eagle_vase_flame_scrolls,bouqet_same_way_facing_birds_spread_wings
C033,central_bouquet_curved_foliage_sun_moon,bouqet_with_arms_below_sun_and_moon_bouqets
C034,decorative_vase_with_flames_butterflies_and_birds,bouqet_with_tables_far_corner_outward_facing_sitting_birds
C035,woman_well_cityscape_bridge_knight_fisherman,bridge_and_town_well_on_left_person_looking_in
C036,floral_foliage_volutes_with_symmetrical_acanthus_motifs,bucket_of_fruit_and_flowers_symmetric_empty_tables_and_flowers
C037,winged_putti_floral_motif_pedestal_face,bust_on_podium_angels
C038,centred_winged_face_floral_tendrils,centred_angel_head
C039,winged_siren_with_swirl_leaves_and_berries,cherub_octopus_arms
C040,dogs_vines_floral_centerpiece,cornucopia_two_tables_with_flowers_flora_AND_flower_basket_flowers_leaping_dogs
C041,eagle_flower_urn_heraldic_shield_floral_motifs,crest_like_framed_fruit_bowl_opposite_looking_birds_spread_wings_on_podium_AND_snake_like_messy_crest_opposite_birds
C042,crown_rose_thistle_garland,crown_looking_flower_in_middle_thistles_on_side_big_shapes
C043,symmetrical_floral_foliage_interlaced_filigree_with_vines,detailed_plumbers_cage
C044,grotesque_mask_floral_birds_vines,devil_mask_wings
C045,heraldic_lamb_with_banner_flanked_by_owls_and_foliage,dog_with_flag_portrait
C046,centered_large_botanical_floral_vase_symmetric_motif,dozen_flower_heads_growing_out_of_vase_no_flora
C047,bearded_face_foliage_eagles_curvilinear,droopy_mustache_eagles
C048,sunburst_face_four_blossoms_vines,eight_point_star_four_flowers
C049,eagles_urn_foliage_trumpets_torches,figs_on_plate_crossed_trumpets_outward_looking_birds_podium_bouqet
C050,rising_sun_between_mountains_fisherman_floral_vases,fisherman_sunset
C051,floral_basket_with_herons_and_foliage,flower_basket_on_lavish_table_birds_looking_up_AND_framed_flowers_on_podium_two_peacock_looking_birds_walking_away
C052,eagles_flower_basket_human_faces_foliage,flower_basket_on_podium_close_centre_looking_birds
C053,lion_floral_basket_volutes,flower_basket_on_podium_outward_leaping_lions
C054,woven_basket_with_flowers_and_curled_foliage,flower_basket_rolling_flora_simple
C055,squirrel_vase_foliage_flourish,flower_basket_squirels_on_sides
C056,crowned_mask_foliage_birds_border,flower_crown_face_birds
C057,eagle_flower_vines_pedestal_vase_cartouche,flower_podium_cage
C058,centered_lion_facing_right_surrounded_by_vines,flower_tied_lion_facing_right
C059,centered_floral_vase_two_peacocks_vines,flower_vase_centre_facing_peacocks_tail_down
C060,symmetrical_vases_with_bells_and_fruit_containers,flower_vase_on_stand_with_downward_facing_lamp_like_flowers_symmetric_vases_on_sides
C061,floral_pedestal_with_festoon_with_crossed_scepters,flower_vase_with_chandlier_on_top_dagger_like_holder_for_flowers_and_bouqets_on_side
C062,urn_with_fruit_between_squirrels_on_pedestals_with_scrollwork,flower_vase_with_handles_squirels_on_podium
C063,centered_cartouche_with_foliage_and_volutes,flowers_floating_above_empty_podium_cornucopia
C064,pedestal_basket_flowers_with_swirling_leaves_and_side_blooms,flowers_pedestal_poorish_quality_rolling_flora
C065,cupids_playing_near_fountain_one_kneeling_one_holding_bow,fountain_bow_angels
C066,centered_pedestal_with_flower_basket_between_four_birds_and_foliage,framed_flower_basket_four_birds_two_bouqets
C067,baskets_with_curved_foliage_and_decorative_frame,framed_flowers_on_podium_two_bouqets_on_sides_flora
C068,centered_eagle_with_floral_arch_and_two_satyrs,framed_left_looking_bird_framed_left_looking_bird
C069,symmetrical_vases_with_foliage_and_clustered_flowers,front_leaning_fruit_basket_hanging_ornaments_fruit_baskets_on_side
C070,floral_basket_with_cornucopia_and_vine_patterns,fruit_and_flower_basket_cornucopia
C071,flower_basket_under_canopy_with_arch_and_pillar,fruit_and_flower_vase_with_lamp_shade_on_top_side_vases_with_shells_on_top
C072,putto_raising_fruit_basket_with_both_hands_amidst_floral_foliage,fruit_basket_top_of_head
C073,four_daisy_flowers_with_fruit_basket_and_pinnate_leaves,fruit_basket_two_flowers_with_many_petals_two_with_five_rolling
C074,fruit_basket_with_mallow_roses_and_curling_foliage,fruit_bowl_5_petal_FK_initial_flowers
C075,centered_goblet_with_fruits_and_tassel_base,fruit_bowl_on_courtain_like_podium_boquets_on_side
C076,basket_with_floral_framed_by_birds,fruit_on_plate_caged_spread_winged_sitting_birds
C077,skull_surrounded_by_intricate_vines_and_leaves,full_gray_frame_bit_of_white
C078,centered_angel_with_instrument_surrounded_by_two_birds_and_vines,guitar_angel
C079,floral_tailpiece_with_swirling_vines_and_dangling_beads,hanging_courtains_flower_tailpiece
C080,harbor_scene_with_multiple_ships_and_buildings,harbour_town_to_left_three_ships_to_right
C081,centered_harp_with_symmetric_books_and_vines,harp_open_books
C082,head_above_symmetrical_floral_frame_with_swirls,head_caught_in_cage_spider
C083,centered_armor_with_symmetric_angel_playing_trumpet_and_flags,head_over_trumpets_war
C084,centered_horned_mask_with_floral_borders_and_two_phoenix,horned_mask
C085,centered_long_steps_with_building_and_trees,house_with_long_steps_middle_symmetric_trees_on_sides
C086,men_with_spears_expel_wild_animal_near_city,hunting_with_spears_and_horses_front_town_at_back_tree_frame
C087,centered_king_head_with_vase_and_symmetrical_baskets_and_birds,kings_head_owl_rabbit
C088,seated_female_with_scales_and_sword_between_birds_and_vines,lady_justice_scales
C089,seated_woman_with_flowers_surrounded_by_two_cherubs_and_two_animals,lady_kneeling_angels
C090,centered_pavilion_with_hanging_garlands_and_floral_vines,lamp_with_handles_vases_on_each_side
C091,centered_eagle_facing_left_with_framed_birds_and_flower_baskets,left_facing_bird_framed_bouquets_centre_facing_birds
C092,centered_bird_with_spread_wings_and_intertwined_vegetal_grapes_motifs,left_facing_pigeon_looking_bird_spread_wings
C093,centered_female_bust_facing_left_with_birds_and_flower_baskets,left_looking_portrait_birds
C094,lute_player_in_center_with_monkeys_and_foliage_on_faces_platform,lute_player_trumpeting_monkees
C095,lion_on_platform_with_foliage_and_floral_elements,mandeville_lion
C096,sitting_female_figure_with_assistants_holding_fabric_and_instrument,mermaids_triton_sea
C097,centered_horn_surrounded_by_chess_piece_and_foliage,messy_centre_with_upward_figures_and_lock_looking_details_flora
C098,symmetrical_birds_facing_crossed_torches_with_decorative_border,messy_torch_centre_facing_birds
C099,seated_figure_surrounded_by_oval_frame_and_figures,monarch_dogs_cornucopia
C100,centered_sun_with_facing_face_and_symmetrical_vines,moon_face_sun
C101,centered_flower_in_oval_border_with_flanking_baskets,nicely_framed_flower_cornucopia
C102,centered_undraped_female_bust_with_two_cherubs_and_birds,undraped_lady_angels
C103,centered_book_and_basket_flanked_by_angels_holding_book_and_birds,open_book_on_flowers_angels_holding_outward_looking_birds
C104,open_book_in_arch_frame_surrounded_by_birds_facing_book_and_flower_baskets,open_book_outward_looking_birds_flower_bouquets_spread_winged_birds
C105,symmetrical_vase_with_half_figures_looking_at_center,overflowing_flower_vase_on_podium_angels_leaning_inwards
C106,floral_basket_with_fruit_and_round_frame_surrounded_by_flowers,overflowing_framed_flower_vase_on_podium_flora_on_sides
C107,centered_hourglass_with_trumpeting_putti,pages_angels
C108,seated_figure_with_bordered_frame_and_holding_object_with_cherubs,painting_holding_angels
C109,centered_peacock_facing_right_in_circular_frame_with_vines,peacock_portrait_black_background
C110,paired_birds_facing_grapes_with_floral,pile_of_food_eating_peacocks
C111,centered_open_book_with_border_crossed_tools_and_horns,plough_podium_cage
C112,centered_portrait_below_floral_decor_with_circular_frame,portrait_left_laurels_plenty_detail
C113,centered_medallion_with_facing_right_head_foliage,portrait_looking_right_angels
C114,symmetrical_birds_with_right_facing_portrait_in_oval_frame_and_foliage,portrait_right_birds_left
C115,centered_portrait_on_base_facing_upward_with_trumpets_and_flags_angel_trumpets,portrait_trumpeting_angels
C116,centered_bust_on_base_with_glowing_halo_facing_up_right,portrait_with_sunrays
C117,trident_bearing_god_with_sea_creatures_and_undraped_figures,poseidon_right_people_AND_poseidon_left_party
C118,symmetrical_cherubs_supporting_flower_basket_with_plants,pretty_basket_angels
C119,pumpkin_in_arch_fram_surrounded_by_leaves,pumpkin_looking_vase_only_little_flora
C120,centered_pedestal_with_four_legged_and_two_angel_figures_flanking,radiant_dog_on_podium
C121,centered_cherub_with_sunburst_and_shells_adorned_with_foliage,radiant_down_flying_bird_bananas_podium
C122,centered_radiant_heart_flower_with_vines,radiant_heart_flowers
C123,centered_shell_with_three_heart_shapes_on_base_and_birds_facing_right,radiant_heart_on_podium_spread_wing_birds_facing_centre_podium
C124,centered_daisy_with_four_lilies_and_acanthus_volutes,robot_hand_flower_four_shoots_of_flowers_rolling_flora
C125,centered_face_with_radiating_sun_and_floral_bouquets,round_sun_face_cornucopia
